SECTN,ANNEE,DJMA_total,DJME_total,DJMH_total
0001012500,2011,78000.0,84000.0,74000.0
0001012500,2012,76000.0,82000.0,74000.0
0001012500,2013,78000.0,85000.0,74000.0
0001012500,2014,78000.0,85000.0,74000.0
0001012500,2015,80000.0,86000.0,75000.0
0001012500,2016,81000.0,86000.0,76000.0
0001012500,2017,83000.0,89000.0,78000.0
0001012500,2018,83000.0,89000.0,78000.0
0001012500,2019,83000.0,88000.0,78000.0
0001012500,2020,67000.0,77000.0,69000.0
0001012500,2021,76000.0,86000.0,66000.0
0001012500,2022,81000.0,88000.0,73000.0
0001015500,2011,34700.0,39200.0,31700.0
0001015500,2012,34800.0,39500.0,32000.0
0001015500,2013,35600.0,40700.0,32400.0
0001015500,2014,35700.0,40500.0,32700.0
0001015500,2015,37600.0,42900.0,34100.0
0001015500,2016,37500.0,43100.0,33300.0
0001015500,2017,39200.0,45100.0,35200.0
0001015500,2018,39400.0,45000.0,35700.0
0001015500,2019,39700.0,45000.0,36000.0
0001015500,2020,32700.0,40600.0,32200.0
0001015500,2021,38400.0,45700.0,32600.0
0001015500,2022,38800.0,44300.0,34000.0
0001023500,2011,28600.0,31800.0,26000.0
0001023500,2012,28900.0,31400.0,26500.0
0001023500,2013,29300.0,32600.0,26500.0
0001023500,2014,29400.0,32400.0,26700.0
0001023500,2015,30600.0,33600.0,27700.0
0001023500,2016,31800.0,34600.0,28900.0
0001023500,2017,32900.0,36000.0,29900.0
0001023500,2018,33100.0,36400.0,30200.0
0001023500,2019,33400.0,36300.0,30200.0
0001023500,2020,25700.0,28600.0,27300.0
0001023500,2021,32000.0,36900.0,26800.0
0001023500,2022,33300.0,36600.0,29400.0
0001300504,2016,32000.0,35000.0,30000.0
0001300504,2017,32000.0,34000.0,31000.0
0001300504,2018,31000.0,33000.0,29000.0
0001300504,2019,34000.0,37000.0,31000.0
0001300506,2016,38000.0,41000.0,35000.0
0001300506,2017,38000.0,40000.0,36000.0
0001300506,2018,36000.0,38000.0,34000.0
0001300506,2019,39000.0,43000.0,37000.0
0001300507,2016,6200.0,6500.0,5900.0
0001300507,2017,5700.0,5900.0,5600.0
0001300507,2018,5300.0,5400.0,5100.0
0001300507,2019,5400.0,5500.0,5200.0
0001300507,2021,5500.0,6000.0,4900.0
0001301000,2012,47000.0,50000.0,43000.0
0001301000,2013,44000.0,45000.0,43000.0
0001301000,2014,85000.0,92000.0,79000.0
0001301000,2015,45000.0,48000.0,41000.0
0001301000,2016,46000.0,48000.0,43000.0
0001301000,2017,48000.0,51000.0,44000.0
0001301000,2018,47000.0,50000.0,42000.0
0001301000,2019,45000.0,46000.0,43000.0
0001301000,2020,37000.0,40000.0,37000.0
0001301000,2021,44000.0,48000.0,39000.0
0001301500,2012,88000.0,94000.0,80000.0
0001301500,2013,77000.0,78000.0,74000.0
0001301500,2014,74000.0,78000.0,70000.0
0001301500,2016,79000.0,86000.0,73000.0
0001301500,2017,80000.0,84000.0,76000.0
0001301500,2018,79000.0,84000.0,73000.0
0001301500,2019,78000.0,81000.0,74000.0
0001301500,2020,65000.0,72000.0,66000.0
0001301500,2021,77000.0,85000.0,68000.0
0001301500,2022,71000.0,75000.0,66000.0
0001301501,2012,4400.0,4500.0,4100.0
0001301501,2013,4500.0,4300.0,4500.0
0001301501,2014,4400.0,4300.0,4400.0
0001301501,2016,3300.0,2500.0,3700.0
0001301501,2017,4000.0,3900.0,3800.0
0001301501,2018,3900.0,3900.0,3800.0
0001301501,2019,4000.0,4100.0,3900.0
0001301501,2021,3700.0,4000.0,3500.0
0001301502,2013,3100.0,3400.0,2900.0
0001301502,2016,2600.0,2100.0,2800.0
0001301502,2017,2900.0,2900.0,2800.0
0001301502,2018,2800.0,2800.0,2800.0
0001301502,2019,2600.0,2600.0,2500.0
0001301502,2021,2180.0,2280.0,2130.0
0001301800,2012,96000.0,103000.0,87000.0
0001301800,2013,85000.0,89000.0,81000.0
0001301800,2016,85000.0,92000.0,79000.0
0001301800,2017,86000.0,92000.0,82000.0
0001301800,2018,86000.0,90000.0,80000.0
0001301800,2019,83000.0,86000.0,79000.0
0001301800,2020,69000.0,77000.0,72000.0
0001301800,2021,82000.0,90000.0,75000.0
0001301800,2022,76000.0,79000.0,71000.0
0001302000,2012,89000.0,97000.0,81000.0
0001302000,2013,79000.0,85000.0,73000.0
0001302001,2012,4500.0,4800.0,4100.0
0001302001,2013,4800.0,4800.0,4400.0
0001302001,2014,5000.0,5200.0,4500.0
0001302001,2015,5400.0,6200.0,4500.0
0001302002,2012,10000.0,10600.0,9200.0
0001302002,2013,10300.0,11000.0,9900.0
0001302002,2014,9600.0,9600.0,9700.0
0001302002,2015,10100.0,10600.0,9700.0
0001302006,2012,4400.0,4600.0,4200.0
0001302006,2013,4200.0,4300.0,4000.0
0001302006,2014,4100.0,4100.0,3900.0
0001302006,2015,4000.0,4100.0,3800.0
0001302200,2012,94000.0,101000.0,86000.0
0001302200,2013,88000.0,91000.0,82000.0
0001302200,2014,89000.0,96000.0,82000.0
0001302200,2016,93000.0,99000.0,85000.0
0001302200,2017,92000.0,97000.0,89000.0
0001302200,2018,91000.0,96000.0,85000.0
0001302200,2019,88000.0,90000.0,86000.0
0001302200,2020,72000.0,77000.0,76000.0
0001302200,2021,85000.0,91000.0,76000.0
0001302400,2012,86000.0,92000.0,80000.0
0001302400,2013,81000.0,83000.0,77000.0
0001302400,2014,80000.0,86000.0,74000.0
0001302400,2016,84000.0,90000.0,79000.0
0001302400,2017,85000.0,89000.0,80000.0
0001302400,2018,82000.0,88000.0,77000.0
0001302400,2019,78000.0,79000.0,77000.0
0001302400,2020,64000.0,67000.0,67000.0
0001302400,2021,75000.0,81000.0,69000.0
0001302401,2012,1530.0,1660.0,1370.0
0001302401,2013,1580.0,1590.0,1460.0
0001302401,2014,1620.0,1770.0,1500.0
0001302401,2016,1640.0,1710.0,1570.0
0001302401,2017,1520.0,1610.0,1460.0
0001302401,2018,1360.0,1390.0,1310.0
0001302401,2019,1270.0,1270.0,1280.0
0001302401,2020,1120.0,1100.0,1220.0
0001302402,2012,3000.0,3000.0,2800.0
0001302402,2013,3300.0,3300.0,3200.0
0001302402,2014,3400.0,3500.0,3300.0
0001302402,2016,6700.0,7200.0,6100.0
0001302402,2017,4200.0,3900.0,4200.0
0001302402,2018,4000.0,3600.0,4100.0
0001302402,2019,3800.0,3400.0,3900.0
0001302402,2020,2360.0,2190.0,2930.0
0001302450,2011,95000.0,98000.0,92000.0
0001302450,2012,99000.0,105000.0,92000.0
