section,nom,type,debut,fin,dg,dt,cs,municipalite
2151001000,,Route,route de Lareine-Saint-Lambert,route 111,53.0,91.0,9.0,La Reine
5512000,autoroute 55,Route,route 249,route 243,53.0,90.0,9.0,Melbourne
7857002000,,Route,10e rang (78581),route Gamache (78590),53.0,64.0,8.0,Sainte-Brigitte-des-Saults
7772001000,,Route,Chemin des Trois-Lacs,Rue Dusseault,53.0,90.0,9.0,Asbestos
20250500,ROUTE 202,Route,rang Saint-Henri (63251),Rue Marziali,53.0,90.0,12.0,Bedford
4090001000,RUE PROVENCHER,Route,route 138,au centre du viaduc de l'autoroute 40,53.0,71.0,86.0,Portneuf
4441001000,Rue Principale (St-Aimé-des-Lacs),Route,route 138,chemin du Lac-Nairne,53.0,71.0,85.0,Saint-Aimé-des-Lacs
4275200100,Accès à la 175 sud,Route,Parc Jacques-Cartier,R-175 Sud,53.0,71.0,84.0,Stoneham-et-Tewkesbury
14825000,route 148,Route,rue Terry-Fox,intersection chemin Eardley et boul. de l'Outaouais,53.0,89.0,7.0,Gatineau
23522000,Route 235,Route,Rang Kempt,route 104,53.0,90.0,12.0,Sainte-Sabine
2058112,00020-06-081-3AC0,Bretelle,"rte 275, Taniata",A-20 Est,53.0,66.0,10.0,Lévis
41039002,00410-01-025-32B0,Bretelle,Boulevard Industriel (S-2),Autoroute 410 est,53.0,90.0,8.0,Sherbrooke
1307502,00013-02-084-31J0,Bretelle,Intersection centre de la  rue Hector-Lanthier,Intersection A-13 Sud,56.0,29.0,2.0,Boisbriand
1511500,AUTOROUTE 15 ET ROUTE 132,Route,Boulevard Salaberry (sortie 46),Boulevard Matte (sortie 50),56.0,29.0,2.0,La Prairie
44022800,autoroute 440,Route,sortie vers PPP 25,Jonction de l'autoroute 25 (0002501056000D),56.0,29.0,2.0,Laval
29128000,Route 291,Route,route 185,Vieux chemin,53.0,65.0,7.0,Saint-Honoré-de-Témiscouata
1022800,autoroute 10,Route,route 141,autoroute 55,53.0,90.0,8.0,Magog
9226301000,Route de Saint-Germain,Route,route 230,grand 2e rang,53.0,65.0,9.0,Saint-Germain
10826500,route 108,Route,"Harrold Drive, Université Bishop",Giratoire,53.0,90.0,8.0,Sherbrooke
14874000,route 148,Route,boul. industriel,à l'est du Pont Arthur Sauvé,56.0,29.0,2.0,Saint-Eustache
13286000,route 132,Route,boulevard  Boul. York Est ( Pont ) route 198 \ 132,route 198 (boulevard York),53.0,63.0,7.0,Gaspé
3532520,00035-02-040-32A0,Bretelle,A-35 nord,Rue Douglas,53.0,86.0,11.0,Saint-Jean-sur-Richelieu
4857601000,RUE  ST-JEAN-BAPTISTE,Route,Rte 170,Rue du Coin,53.0,68.0,6.0,L'Anse-Saint-Jean
34853500,,Route,limite nord de Saint-Gabriel,chemin Beauparlant,53.0,88.0,6.0,Saint-Gabriel-de-Brandon
52013001,00520-01-025-33A0,Bretelle,SORTIE SUR V. SERV. POUR 55 IEME AVENUE,À préciser,56.0,29.0,2.0,Montréal
20150510,00201-02-010-32A0,Bretelle,Route 201 nord,Fin du biseau route 338 est,53.0,86.0,12.0,Coteau-du-Lac
2041000,A20 (A55 -> R122),Route,route 122,autoroute 55,53.0,64.0,8.0,Saint-Germain-de-Grantham
3036003,00030-03-121-34A0,Bretelle,VENANT AUT. 30 VERS BOUL. ST-LOUIS.,Non-défini,53.0,86.0,10.0,Sorel-Tracy
36537500,RUE DU COLLÈGE,Route,rue Saint-Marc,route 358 Est (Grand Capsa),53.0,71.0,86.0,Pont-Rouge
27643500,Route 276,Route,roue 173,autoroute 73,53.0,66.0,6.0,Saint-Joseph-de-Beauce
9568002000,Route Sainte-Irène / Route de Val-d'Irène,Route,rte Val-D'Irène,int. Ste-Irène,53.0,65.0,6.0,Sainte-Irène
34432500,Chemin d'Oka,Route,vis-à-vis la rue Girouard,entrée du Parc Paul-Sauvé,56.0,29.0,2.0,Oka
44040013,00440-06-140-V3A0 (515-1099),Bretelle,00440-06-140-000D,00440-06-150-000D,53.0,71.0,84.0,Québec
