,num_sectn_,RES_NM_REG
0,0013940000,Intersection: Montérégie + Centre-du-Québec
1,0011648000,Centre-du-Québec
2,0002505006,Montérégie
3,0007343000,Intersection: Chaudière-Appalaches + Capitale-Nationale
4,0032520000,Montérégie
5,0016140500,Centre-du-Québec
6,0020212700,Montérégie
7,9527003000,Gaspésie–Îles-de-la-Madeleine
8,0004052022,Capitale-Nationale
9,0015541500,Mauricie
10,0013281000,Gaspésie–Îles-de-la-Madeleine
11,9560001000,Bas-Saint-Laurent
12,0011274000,Chaudière-Appalaches
13,0035802500,Capitale-Nationale
14,0002041500,Centre-du-Québec
15,0013204000,Montérégie
16,0025544000,Estrie
17,0019907500,Gaspésie–Îles-de-la-Madeleine
18,0001014000,Montérégie
19,7431000100,Estrie
20,0004058012,Capitale-Nationale
21,0044024008,Capitale-Nationale
22,0015924000,Mauricie
23,2493401000,Outaouais
24,0015826000,Laurentides
25,0014325000,Estrie
26,2211796700,Abitibi-Témiscamingue
27,0002028000,Montérégie
28,0013898000,Côte-Nord
29,0013230000,Centre-du-Québec
30,0020140000,Montérégie
31,0001311000,Laurentides
32,0002049504,Chaudière-Appalaches
33,0010950000,Nord-du-Québec
34,0010516000,Outaouais
35,3285001000,Laurentides
36,0017055000,Saguenay–Lac-Saint-Jean
37,0044024020,Capitale-Nationale
38,0027730000,Chaudière-Appalaches
39,0021725000,Montérégie
40,9465101000,Bas-Saint-Laurent
41,2554001000,Outaouais
42,2211796600,Abitibi-Témiscamingue
43,0028540000,Chaudière-Appalaches
44,0061012004,Estrie
45,0024525000,Estrie
46,7226001000,Montérégie
47,0034936000,Mauricie
48,0001518602,Montréal
49,0002011701,Montréal
50,6073710000,
51,0022745000,Montérégie
52,0004056020,Capitale-Nationale
53,0031130000,Laurentides
54,0022104900,Montérégie
55,0034786000,Lanaudière
56,8041002000,Centre-du-Québec
57,5014001000,Côte-Nord
58,0026718000,Chaudière-Appalaches
59,6373700200,Montérégie
60,0033836000,Montérégie
61,2648001000,Outaouais
62,0019725000,Gaspésie–Îles-de-la-Madeleine
63,0002012000,Montréal
64,0013391000,Montérégie
65,6874101000,Estrie
66,0003005000,Montérégie
67,0033820000,Montérégie
68,0034212000,Montérégie
69,7826001000,Centre-du-Québec
70,0001023402,Estrie
71,9221002000,Bas-Saint-Laurent
72,0002049031,Chaudière-Appalaches
73,0002025002,Montérégie
74,0013287000,Gaspésie–Îles-de-la-Madeleine
75,0011645500,Estrie
76,0005012000,Outaouais
77,0004026000,Intersection: Montréal + Lanaudière
78,0022329000,Montérégie
79,0057327504,Capitale-Nationale
80,0013269710,Bas-Saint-Laurent
81,0004065014,Capitale-Nationale
82,4263903000,Capitale-Nationale
83,0054080002,Capitale-Nationale
84,0011798000,Abitibi-Témiscamingue
85,0004054005,Capitale-Nationale
86,0034956000,Mauricie
87,7083006000,Montérégie
88,0017316800,Chaudière-Appalaches
89,0010461000,Montérégie
90,0023662000,Montérégie
91,0010852500,Chaudière-Appalaches
92,0003002080,Montérégie
93,0001524001,Laurentides
94,0035952500,Mauricie
95,0036807500,Capitale-Nationale
96,0013297600,Bas-Saint-Laurent
97,0015336000,Mauricie
98,0013252000,Bas-Saint-Laurent
99,0028963000,Bas-Saint-Laurent
100,0036685000,Outaouais
101,0013873000,Capitale-Nationale
102,0003001000,Montérégie
103,0024364000,Estrie
104,0014851000,Outaouais
105,0028110000,Chaudière-Appalaches
106,0064082504,Laurentides
107,0001024906,Estrie
108,6456804000,Montérégie
109,4128001000,Capitale-Nationale
110,0004059010,Capitale-Nationale
111,0001023702,Estrie
112,0026355000,Centre-du-Québec
113,3848002000,Mauricie
114,0007332524,Chaudière-Appalaches
115,0028120000,Chaudière-Appalaches
116,0013863504,Capitale-Nationale
117,0017315000,Chaudière-Appalaches
118,0020222500,Montérégie
119,0001526500,Laurentides
120,7096001000,Montérégie
121,0044039004,Capitale-Nationale
122,0002026001,Montérégie
123,4715201000,Saguenay–Lac-Saint-Jean
124,7025001000,Montérégie
125,0002012600,Montréal
126,0007345028,Capitale-Nationale
127,0013802900,Montérégie
128,0020839000,Estrie
129,0033712500,Lanaudière
130,0014814000,Outaouais
131,2335102000,Abitibi-Témiscamingue
132,2533001000,Outaouais
133,0005510304,Estrie
134,0038625000,Abitibi-Témiscamingue
135,0004014500,Montréal
136,0074045000,Capitale-Nationale
137,0003023000,Montérégie
138,0036440000,Laurentides
139,0024140000,Estrie
140,0023045000,Bas-Saint-Laurent
141,0005006002,Outaouais
142,0023435000,Bas-Saint-Laurent
143,0002515500,Intersection: Montréal + Laval
144,0007358024,Capitale-Nationale
145,0023661000,Montérégie
146,0013287700,Gaspésie–Îles-de-la-Madeleine
147,9383001000,Bas-Saint-Laurent
148,0002006603,Montérégie
149,0011776000,Abitibi-Témiscamingue
150,0002016500,Montréal
151,7031101000,Montérégie
152,0002013800,Montréal
153,0044024006,Capitale-Nationale
154,0027724800,Chaudière-Appalaches
155,3011620000,Montérégie
156,0038915000,Côte-Nord
157,3066101000,Laurentides
158,0014872500,Laurentides
159,0034111500,Lanaudière
160,3019220000,Montérégie
161,0017573000,Saguenay–Lac-Saint-Jean
162,0097360000,Capitale-Nationale
163,0001516800,Montréal
164,6655202000,Estrie
165,0020159500,Montérégie
166,0011223000,Montérégie
167,0010842000,Estrie
168,0011799000,Abitibi-Témiscamingue
169,0039188000,Abitibi-Témiscamingue
170,0041042000,Estrie
171,3848001000,Mauricie
172,0036240500,Capitale-Nationale
173,4076000600,Capitale-Nationale
